country_name,city_name,nominal_num_bikes,cityhall,launch_date,closed_date,timezone,operator,operator_name,system_type,system_website,technology
Argentina,Buenos Aires,1650,Buenos Aires Ciudad,2015-02-21,,America/Argentina/Buenos_Aires,Buenos Aires Ciudad,BA Ecobici por Tembici,Dock-based,https://baecobici.com.ar/,
Aruba,Aruba,0,,,,America/Aruba,Friendly Green Bike Company Aruba ,Green Bike,Dock-based,http://greenbikearuba.com/en/home/,PBSC
Brazil,Fortaleza,859,Prefeitura de Fortaleza,,,America/Fortaleza,Samba,Bicicletar,Dock-based,http://www.bicicletar.com.br/mapaestacao.aspx,Samba
Brazil,Petrolina,14,,,2019-11-24,America/Recife,Samba,PetroBike,,,
Brazil,Porto Alegre,300,Prefeitura de Porto Alegre,,,America/Sao_Paulo,Tembici,Bike POA,Dock-based,https://bikeitau.com.br/bikepoa/,PBSC
Brazil,Recife,352,,,,America/Recife,Tembici,Bike PE,Dock-based,https://bikeitau.com.br/bikepe/,PBSC
Brazil,Rio de Janeiro,2062,,,,America/Sao_Paulo,Tembici,Bike Rio,Dock-based,https://bikeitau.com.br/bikerio/,PBSC
Brazil,Riviera de São Lourenço,49,Riviera de São Lourenço,2018-12-01,,America/Sao_Paulo,Tembici,RiviBike,Dock-based,https://www.rivieradesaolourenco.com/rivibike-2/,PBSC
Brazil,Salvador,59,,,,America/Bahia,Tembici,Bike Salvador,Dock-based,https://bikeitau.com.br/bikesalvador/,PBSC
Brazil,Santos,80,,,,America/Sao_Paulo,Samba,Bike Santos,,http://www.mobilicidade.com.br/bikesantos/,
Brazil,São Paulo,1349,Prefeitura de São Paulo,,,America/Sao_Paulo,Tembici,Bike Sampa,Dock-based,https://bikeitau.com.br/bikesampa/,PBSC
Brazil,Sorocaba,90,Prefeitura de Sorocaba,,,America/Sao_Paulo,Urbes,IntegraBike,Dock-based,https://integrabike.tembici.com.br/,Tembici
Brazil,Vila Velha,100,Prefeitura de Vila Velha,,,America/Sao_Paulo,Tembici,Bike VV,Dock-based,https://www.bikevv.com.br/,PBSC
Canada,Hamilton,555,City of Hamilton,2015-03-20,,America/Toronto,Hamilton Bike Share,Hamilton Bike Share,Hybrid,http://www.hamiltonbikeshare.ca/,SoBi
Canada,Montréal,7134,Montreal,2009-05-12,,America/Montreal,BIXI Montréal,BIXI Montréal,Dock-based,https://montreal.bixi.com/en,8D
Canada,Ottawa/Gatineau,0,,,,America/Toronto,CycleHop,VeloGo,Hybrid,https://velogo.ca/,SoBi
Canada,Québec City,83,Réseau de Transport de la Capitale,2021-07-09,2021-10-31,America/Toronto,Réseau de Transport de la Capitale,àVélo,Dock-based,https://www.rtcquebec.ca/informations-pratiques/services-complementaires/avelo,PBSC
Canada,Toronto,5302,City of Toronto,2011-05-03,,America/Toronto,Shift Transit (PBSC),Bike Share Toronto,Dock-based,https://bikesharetoronto.com/,PBSC
Canada,University of British Columbia,65,UBC,2019-07-23,,America/Vancouver,HOPR,HOPR,Dock-based,https://gohopr.com/ubc/,HOPR
Canada,Vancouver,1723,City of Vancouver,2016-07-20,,America/Vancouver,CycleHop,Mobi,Dock-based,https://www.mobibikes.ca/,Smoove
Canada,Victoria,0,,,2020-06-02,America/Vancouver,,nextbike Canada,,https://canada.nextbike.net/,nextbike
Chile,Santiago,1207,Municipality of Las Condes,2015-03-01,,America/Santiago,Tembici,Bike Santiago,Dock-based,https://www.bikesantiago.cl/,Shift/PBSC
Chile,Santiago: Las Condes,662,Municipality of Las Condes,2015-03-01,,America/Santiago,Clear Channel,Bici Las Condes,Dock-based,https://www.bicilascondes.cl/,SmartBike
Mexico,Cancún,0,,,,America/Cancun,Motum,YOY,Dock-based,https://www.yoymobility.com/en/cancun/,Nextbike
Mexico,Guadalajara,2319,Instituto de Movilidad y Transporte del Estado de Jalisco,,,America/Mexico_City,BKT Bici Pública,MIBICI,Dock-based,https://www.mibici.net/en/,PBSC
Mexico,Mexico City,4464,Ciudad de México,2010-02-15,,America/Mexico_City,Clear Channel,ECOBICI,Dock-based,https://www.ecobici.cdmx.gob.mx/en,SmartBike
Mexico,Puebla,104,,2017-01-01,,America/Mexico_City,Sistema Operado por Cyclo Share de México,UrbanBici,Dock-based,http://www.urbanbici.mx/,Cycloshare
Mexico,Querétaro,300,Querétaro Municipio,2018-02-28,,America/Mexico_City,EMU (Estrategias de Movilidad Urbana),QROBICI,Dock-based,https://qrobici.mx/,Samba
Mexico,San Luis Potosi,0,,2020-10-25,2021-06-14,America/Mexico_City,Motum,Yoy,Dock-based,https://www.yoymobility.com/en/sanluis/,Nextbike
Uruguay,Montevideo,59,,,2019-03-13,America/Montevideo,,Movete,, http://movete.montevideo.gub.uy,Usual Bike
USA,Albany & Troy,170,Capital District Transportation Authority,2017-07-27,,America/New_York,SoBi,CDPHP Cycle!,Hybrid,https://cdphpcycle.com/,SoBi
USA,Ashland,50,,,,America/Los_Angeles,Zagster,Rogue Bike Share,Dock-based,http://zagster.com/jacksoncounty/,Zagster
USA,Aspen & Basalt,2,Roaring Fork Transportation Authority,2013-06-05,,America/Denver,WE-cycle,WE-cycle,Dock-based,https://www.we-cycle.org/,PBSC
USA,Atlanta,395,City of Atlanta,2016-06-09,,America/New_York,CycleHop,Relay,Hybrid,http://relaybikeshare.com/,SoBi
