country_name,city_name,nominal_num_bikes,cityhall,launch_date,closed_date,timezone,operator,operator_name,system_type,system_website,technology
,Forlì,53,Comune di Forlì,2012-10-01,,Europe/Rome,Bicincitta,Mi Muovo in Bici,Dock-based,http://www.mimuovoinbici.it/frmLeStazioni.aspx?ID=119,Bicincitta
Austria,10vorWien,88,,,,Europe/Vienna,,nextbike Niederösterreich Austria,,https://www.nextbike.at/en/niederoesterreich/,nextbike
Austria,Amstetten,0,,,,Europe/Vienna,,nextbike Niederösterreich Austria,,https://www.nextbike.at/en/niederoesterreich/,nextbike
Austria,Groß Enzersdorf,0,,,,Europe/Vienna,,nextbike Niederösterreich Austria,,https://www.nextbike.at/en/niederoesterreich/,nextbike
Austria,Haag,10,,,,Europe/Vienna,,nextbike Niederösterreich Austria,,https://www.nextbike.at/en/niederoesterreich/,nextbike
Austria,Hollabrunn,13,,,,Europe/Vienna,,nextbike Niederösterreich Austria,,https://www.nextbike.at/en/niederoesterreich/,nextbike
Austria,Innsbruck,197,,,,Europe/Vienna,,Stadtrad Innsbruck Austria,,http://www.stadtrad.ivb.at/,nextbike
Austria,Klagenfurt,0,,,,Europe/Vienna,,nextbike Klagenfurt Austria,,https://www.nextbike.at/,nextbike
Austria,Krems Ost,1,,,,Europe/Vienna,,LEIHRADL nextbike,,http://www.nextbike.de/en/,nextbike
Austria,Laa an der Thaya,8,,,,Europe/Vienna,,nextbike Niederösterreich Austria,,https://www.nextbike.at/en/niederoesterreich/,nextbike
Austria,Linz,274,,2021-03-11,,Europe/Vienna,City Bike Linz Rental Service GmbH ,city bike Linz,Dock-based,https://www.citybikelinz.at/en,Nextbike
Austria,Lunz am See,0,,,,Europe/Vienna,,nextbike Niederösterreich Austria,,https://www.nextbike.at/en/niederoesterreich/,nextbike
Austria,Marchfeld,12,,,,Europe/Vienna,,nextbike Niederösterreich Austria,,https://www.nextbike.at/en/niederoesterreich/,nextbike
Austria,Mistelbach,10,,,,Europe/Vienna,,LEIHRADL nextbike,,http://www.nextbike.de/en/,nextbike
Austria,Mödling,149,,,,Europe/Vienna,,nextbike Niederösterreich Austria,,https://www.nextbike.at/en/niederoesterreich/,nextbike
Austria,Neusiedler See,167,,,,Europe/Vienna,,nextbike Burgenland Austria,,https://www.nextbike.at/,nextbike
Austria,ÖBB-Bahnhöfe,4,,,,Europe/Vienna,,LEIHRADL nextbike,,http://www.nextbike.de/en/,nextbike
Austria,Oberes Ybbstal,13,,,,Europe/Vienna,,LEIHRADL nextbike,,http://www.nextbike.de/en/,nextbike
Austria,Piestingtal,10,,,,Europe/Vienna,,LEIHRADL nextbike,,http://www.nextbike.de/en/,nextbike
Austria,Römerland,22,,,,Europe/Vienna,,nextbike Niederösterreich Austria,,https://www.nextbike.at/en/niederoesterreich/,nextbike
Austria,Serfaus,0,,,,Europe/Vienna,,nextbike Tirol Austria,,http://www.serfaus.gv.at/,nextbike
Austria,St.Pölten,128,,,,Europe/Vienna,,nextbike Niederösterreich Austria,,https://www.nextbike.at/en/niederoesterreich/,nextbike
Austria,Traisen-Gölsental,31,,,,Europe/Vienna,,nextbike Niederösterreich Austria,,https://www.nextbike.at/en/niederoesterreich/,nextbike
Austria,Tulln,39,,,,Europe/Vienna,,nextbike Niederösterreich Austria,,https://www.nextbike.at/en/niederoesterreich/,nextbike
Austria,Vienna,648,Stadt Wien,,,Europe/Vienna,Gewista Werbegesellschaft m.b.H.,Citybike,Dock-based,https://www.citybikewien.at/en/,Citybike
Austria,Wachau,107,,,,Europe/Vienna,,nextbike Niederösterreich Austria,,https://www.nextbike.at/en/niederoesterreich/,nextbike
Austria,Wiener Neustadt,52,,,,Europe/Vienna,,nextbike Niederösterreich Austria,,https://www.nextbike.at/,nextbike
Austria,Wienerwald,37,,,,Europe/Vienna,,nextbike Niederösterreich Austria,,https://www.nextbike.at/en/niederoesterreich/,nextbike
Austria,Wieselburg,4,,,,Europe/Vienna,,LEIHRADL nextbike,,http://www.nextbike.de/en/,nextbike
Belgium,Antwerp,3200,Antwerp City Council,2011-06-09,,Europe/Brussels,Clear Channel,Velo Antwerpen,Dock-based,https://www.velo-antwerpen.be/en,Smartbike
Belgium,Brussels,3962,Region de Bruxelles-Capitale,2009-05-19,,Europe/Brussels,JCDecaux,Villo!,Dock-based,http://en.villo.be/,Cyclocity
Belgium,Ghent,437,,2019-06-13,,Europe/Brussels,Donkey Republic,Donkey Republic,Dock-based,https://www.donkey.bike/cities/bike-rental-ghent/,Donkey Republic
Belgium,Kortrijk,355,,2020-06-04,,Europe/Brussels,Donkey Republic,Donkey Republic,Dock-based,https://www.donkey.bike/cities/bike-rental-kortrijk-zuid-west-vlaanderen/,Donkey Republic
Belgium,Namur,212,,,,Europe/Brussels,,Li bia velo,,,
Bosnia,Zenica,11,,2019-10-11,,Europe/Sarajevo,Nextbike,Nextbike,Dock-based,https://www.nextbike.ba/bs/zenica/,Nextbike
Bosnia and Herzegovina,Banja Luka,0,,,,Europe/Sarajevo,,BL-Bike,,https://www.nextbike.ba/sr/banjaluka/,nextbike
