Location,URL,Station name,Lat,Lng,Bikes available,Total bikes available,Extra bikes
s-Hertogenbosch Oost,https://ovfietsbeschikbaar.nl/locatie/Hto001,Station 's-Hertogenbosch Oost,51.700878,5.319214,7 fietsen beschikbaar,8 fietsen,1
t Harde,https://ovfietsbeschikbaar.nl/locatie/Hde001,Station 't Harde,52.408791,5.89185,6 fietsen beschikbaar,8 fietsen,2
Aalten,https://ovfietsbeschikbaar.nl/locatie/atn001,Station Aalten,51.92161,6.57929,6 fietsen beschikbaar,6 fietsen,0
Alkmaar,https://ovfietsbeschikbaar.nl/locatie/amr001,Station Alkmaar,52.63753,4.73985,143 fietsen beschikbaar,162 fietsen,19
Alkmaar Noord,https://ovfietsbeschikbaar.nl/locatie/amrn003,Station Alkmaar Noord,52.64396,4.76371,29 fietsen beschikbaar,32 fietsen,3
Almelo,https://ovfietsbeschikbaar.nl/locatie/aml001,Station Almelo,52.35614,6.65732,18 fietsen beschikbaar,32 fietsen,14
Almere Centrum,https://ovfietsbeschikbaar.nl/locatie/alm003,Station Almere Centrum,52.37462,5.21781,28 fietsen beschikbaar,32 fietsen,4
Alphen aan den Rijn,https://ovfietsbeschikbaar.nl/locatie/apn001,Station Alphen a/d Rijn,52.12492,4.65789,40 fietsen beschikbaar,55 fietsen,15
Amersfoort Centraal,https://ovfietsbeschikbaar.nl/locatie/amf001,Station Amersfoort Centraal,52.15293,5.37481,272 fietsen beschikbaar,451 fietsen,179
Amersfoort Mondriaanplein,https://ovfietsbeschikbaar.nl/locatie/amf002,Station Amersfoort Centraal,52.15446,5.37339,56 fietsen beschikbaar,70 fietsen,14
Amersfoort Schothorst,https://ovfietsbeschikbaar.nl/locatie/amfs001,Station Amersfoort Schothorst,52.1746,5.40462,28 fietsen beschikbaar,31 fietsen,3
Amersfoort Vathorst,https://ovfietsbeschikbaar.nl/locatie/avat001,Station Amersfoort Vathorst,52.19261,5.43362,4 fietsen beschikbaar,4 fietsen,0
Amsterdam Amstel,https://ovfietsbeschikbaar.nl/locatie/asa001,Station Amsterdam Amstel,52.34701,4.91875,190 fietsen beschikbaar,278 fietsen,88
Amsterdam Bijlmer ArenA,https://ovfietsbeschikbaar.nl/locatie/asb003,Station Amsterdam Bijlmer ArenA,52.311914,4.948114,18 fietsen beschikbaar,30 fietsen,12
